station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,"Phosphor, total-P",Total,0.09571184434043227,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,"Nitrogen,total N",Total,4.5828322,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,Suspenderede stoffer,Total,10.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.15,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.027,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,4.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2016-12-12,"Glødetab,susp.stof",Total,3.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,"Glødetab,susp.stof",Total,3.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.029,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,Suspenderede stoffer,Total,9.6,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,"Nitrogen,total N",Total,4.272277000000001,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-10,"Phosphor, total-P",Total,0.11326128242703987,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-25,"Nitrogen,total N",Total,4.3757954,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2017-01-25,"Phosphor, total-P",Total,0.09466692211300423,mg/l
